City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Teya,RU,60.3778,92.6267,51.44,79,100,11.34,light rain
301,Granadilla De Abona,ES,28.1188,-16.576,73.04,86,59,10.63,broken clouds
302,Votkinsk,RU,57.0486,53.9872,54.77,53,100,5.12,overcast clouds
303,Kotra,IN,25.8167,79.3167,89.2,57,63,9.44,broken clouds
304,Cabo San Lucas,MX,22.8909,-109.9124,83.52,81,90,1.01,overcast clouds
305,North Bend,US,43.4065,-124.2243,55.85,100,20,6.91,few clouds
306,Hofn,IS,64.2539,-15.2082,55.42,67,75,8.05,broken clouds
307,Santa Cruz,BO,-17.8,-63.1667,75.25,25,75,20.71,broken clouds
308,Lurgan,GB,54.4608,-6.3294,66.43,66,16,13.27,few clouds
309,Ixtapa,MX,20.7,-105.2,85.23,94,100,0.0,overcast clouds
310,Kinarut,MY,5.8231,116.0466,75.22,100,40,2.3,scattered clouds
311,Port Augusta,AU,-32.5,137.7667,50.11,65,100,5.97,overcast clouds
312,Iki-Burul,RU,45.8208,44.6472,82.24,35,52,13.4,broken clouds
313,General Roca,AR,-39.0333,-67.5833,65.62,18,3,6.2,clear sky
314,Lubango,AO,-14.9172,13.4925,77.05,26,5,7.34,clear sky
315,San Policarpo,PH,12.1791,125.5072,80.91,86,100,8.21,overcast clouds
316,Verkhniy Avzyan,RU,53.5289,57.5372,49.08,88,100,2.19,overcast clouds
317,Portland,US,45.5234,-122.6762,62.46,88,0,5.75,clear sky
318,Brae,GB,60.3964,-1.353,60.12,82,100,18.75,overcast clouds
319,Lensk,RU,60.7253,114.9278,41.13,97,100,4.09,overcast clouds
320,Pangody,RU,65.85,74.4859,43.48,89,96,14.79,overcast clouds
321,Wenling,CN,28.3669,121.36,78.85,87,100,22.7,moderate rain
322,Cherskiy,RU,68.75,161.3,35.56,85,100,5.01,overcast clouds
323,San Benito,US,36.6166,-121.0844,52.95,22,0,2.93,clear sky
324,Aalst,BE,50.9433,4.0735,83.41,36,100,10.63,overcast clouds
325,Havoysund,NO,70.9963,24.6622,48.43,83,100,15.3,overcast clouds
326,Asheville,US,35.6009,-82.554,74.1,90,100,5.75,mist
327,Longyan,CN,25.1072,117.0225,69.91,86,19,3.89,few clouds
328,Port Blair,IN,11.6667,92.75,78.84,89,40,4.61,drizzle
329,Elat,IL,29.5581,34.9482,100.24,34,0,13.8,clear sky
330,Pampa,US,35.5362,-100.9599,75.24,60,0,6.91,clear sky
